Date;Price
15.01.1997;3.45
15.02.1997;2.15
15.03.1997;1.89
15.04.1997;2.03
15.05.1997;2.25
15.06.1997;2.2
15.07.1997;2.19
15.08.1997;2.49
15.09.1997;2.88
15.10.1997;3.07
15.11.1997;3.01
15.12.1997;2.35
15.01.1998;2.09
15.02.1998;2.23
15.03.1998;2.24
15.04.1998;2.43
15.05.1998;2.14
15.06.1998;2.17
15.07.1998;2.17
15.08.1998;1.85
15.09.1998;2.02
15.10.1998;1.91
15.11.1998;2.12
15.12.1998;1.72
15.01.1999;1.85
15.02.1999;1.77
15.03.1999;1.79
15.04.1999;2.15
15.05.1999;2.26
15.06.1999;2.3
15.07.1999;2.31
15.08.1999;2.8
15.09.1999;2.55
15.10.1999;2.73
15.11.1999;2.37
15.12.1999;2.36
15.01.2000;2.42
15.02.2000;2.66
15.03.2000;2.79
15.04.2000;3.04
15.05.2000;3.59
15.06.2000;4.29
15.07.2000;3.99
15.08.2000;4.43
15.09.2000;5.06
15.10.2000;5.02
15.11.2000;5.52
15.12.2000;8.9
15.01.2001;8.17
15.02.2001;5.61
15.03.2001;5.23
15.04.2001;5.19
15.05.2001;4.19
15.06.2001;3.72
15.07.2001;3.11
15.08.2001;2.97
15.09.2001;2.19
15.10.2001;2.46
15.11.2001;2.34
15.12.2001;2.3
15.01.2002;2.32
15.02.2002;2.32
15.03.2002;3.03
15.04.2002;3.43
15.05.2002;3.5
15.06.2002;3.26
15.07.2002;2.99
15.08.2002;3.09
15.09.2002;3.55
15.10.2002;4.13
15.11.2002;4.04
15.12.2002;4.74
15.01.2003;5.43
15.02.2003;7.71
15.03.2003;5.93
15.04.2003;5.26
15.05.2003;5.81
15.06.2003;5.82
15.07.2003;5.03
15.08.2003;4.99
15.09.2003;4.62
15.10.2003;4.63
15.11.2003;4.47
15.12.2003;6.13
15.01.2004;6.14
15.02.2004;5.37
15.03.2004;5.39
15.04.2004;5.71
15.05.2004;6.33
15.06.2004;6.27
15.07.2004;5.93
15.08.2004;5.41
15.09.2004;5.15
15.10.2004;6.35
15.11.2004;6.17
15.12.2004;6.58
15.01.2005;6.15
15.02.2005;6.14
15.03.2005;6.96
15.04.2005;7.16
15.05.2005;6.47
15.06.2005;7.18
15.07.2005;7.63
15.08.2005;9.53
15.09.2005;11.75
15.10.2005;13.42
15.11.2005;10.3
15.12.2005;13.05
15.01.2006;8.69
15.02.2006;7.54
15.03.2006;6.89
15.04.2006;7.16
15.05.2006;6.25
15.06.2006;6.21
15.07.2006;6.17
15.08.2006;7.14
15.09.2006;4.9
15.10.2006;5.85
15.11.2006;7.41
15.12.2006;6.73
15.01.2007;6.55
15.02.2007;8
15.03.2007;7.11
15.04.2007;7.6
15.05.2007;7.64
15.06.2007;7.35
15.07.2007;6.22
15.08.2007;6.22
15.09.2007;6.08
15.10.2007;6.74
15.11.2007;7.1
15.12.2007;7.11
15.01.2008;7.99
15.02.2008;8.54
15.03.2008;9.41
15.04.2008;10.18
15.05.2008;11.27
15.06.2008;12.69
15.07.2008;11.09
15.08.2008;8.26
15.09.2008;7.67
15.10.2008;6.74
15.11.2008;6.68
15.12.2008;5.82
15.01.2009;5.24
15.02.2009;4.52
15.03.2009;3.96
15.04.2009;3.5
15.05.2009;3.83
15.06.2009;3.8
15.07.2009;3.38
15.08.2009;3.14
15.09.2009;2.99
15.10.2009;4.01
15.11.2009;3.66
15.12.2009;5.35
15.01.2010;5.83
15.02.2010;5.32
15.03.2010;4.29
15.04.2010;4.03
15.05.2010;4.14
15.06.2010;4.8
15.07.2010;4.63
15.08.2010;4.32
15.09.2010;3.89
15.10.2010;3.43
15.11.2010;3.71
15.12.2010;4.25
15.01.2011;4.49
15.02.2011;4.09
15.03.2011;3.97
15.04.2011;4.24
15.05.2011;4.31
15.06.2011;4.54
15.07.2011;4.42
15.08.2011;4.06
15.09.2011;3.9
15.10.2011;3.57
15.11.2011;3.24
15.12.2011;3.17
15.01.2012;2.67
15.02.2012;2.51
15.03.2012;2.17
15.04.2012;1.95
15.05.2012;2.43
15.06.2012;2.46
15.07.2012;2.95
15.08.2012;2.84
15.09.2012;2.85
15.10.2012;3.32
15.11.2012;3.54
15.12.2012;3.34
15.01.2013;3.33
15.02.2013;3.33
15.03.2013;3.81
15.04.2013;4.17
15.05.2013;4.04
15.06.2013;3.83
15.07.2013;3.62
15.08.2013;3.43
15.09.2013;3.62
15.10.2013;3.68
15.11.2013;3.64
15.12.2013;4.24
15.01.2014;4.71
15.02.2014;6
15.03.2014;4.9
15.04.2014;4.66
15.05.2014;4.58
15.06.2014;4.59
15.07.2014;4.05
15.08.2014;3.91
15.09.2014;3.92
15.10.2014;3.78
15.11.2014;4.12
15.12.2014;3.48
15.01.2015;2.99
15.02.2015;2.87
15.03.2015;2.83
15.04.2015;2.61
15.05.2015;2.85
15.06.2015;2.78
15.07.2015;2.84
15.08.2015;2.77
15.09.2015;2.66
15.10.2015;2.34
15.11.2015;2.09
15.12.2015;1.93
15.01.2016;2.28
15.02.2016;1.99
15.03.2016;1.73
15.04.2016;1.92
15.05.2016;1.92
15.06.2016;2.59
15.07.2016;2.82
15.08.2016;2.82
15.09.2016;2.99
15.10.2016;2.98
15.11.2016;2.55
15.12.2016;3.59
15.01.2017;3.3
15.02.2017;2.85
15.03.2017;2.88
15.04.2017;3.1
15.05.2017;3.15
15.06.2017;2.98
15.07.2017;2.98
15.08.2017;2.9
15.09.2017;2.98
15.10.2017;2.88
15.11.2017;3.01
15.12.2017;2.82
15.01.2018;3.87
15.02.2018;2.67
15.03.2018;2.69
15.04.2018;2.8
15.05.2018;2.8
15.06.2018;2.97
15.07.2018;2.83
15.08.2018;2.96
15.09.2018;3
15.10.2018;3.28
15.11.2018;4.09
15.12.2018;4.04
15.01.2019;3.11
15.02.2019;2.69
15.03.2019;2.95
15.04.2019;2.65
15.05.2019;2.64
15.06.2019;2.4
15.07.2019;2.37
15.08.2019;2.22
15.09.2019;2.56
15.10.2019;2.33
15.11.2019;2.65
15.12.2019;2.22
15.01.2020;2.02
15.02.2020;1.91
15.03.2020;1.79
15.04.2020;1.74
15.05.2020;1.75
15.06.2020;1.63
15.07.2020;1.76
15.08.2020;2.3
15.09.2020;1.92
15.10.2020;2.39
15.11.2020;2.61
15.12.2020;2.58
15.01.2021;2.71
15.02.2021;5.35
15.03.2021;2.62
15.04.2021;2.66
15.05.2021;2.91
15.06.2021;3.26
15.07.2021;3.84
15.08.2021;4.07
15.09.2021;5.16
15.10.2021;5.51
15.11.2021;5.05
15.12.2021;3.76
15.01.2022;4.38
15.02.2022;4.69
15.03.2022;4.9
15.04.2022;6.6
15.05.2022;8.14
15.06.2022;7.7
15.07.2022;7.28
15.08.2022;8.81
15.09.2022;7.88
15.10.2022;5.66
15.11.2022;5.45
15.12.2022;5.53
15.01.2023;3.27
15.02.2023;2.38
15.03.2023;2.31
15.04.2023;2.16
15.05.2023;2.15
15.06.2023;2.18
15.07.2023;2.55
15.08.2023;2.58
15.09.2023;2.64
15.10.2023;2.98
15.11.2023;2.71
15.12.2023;2.52
15.01.2024;3.18
15.02.2024;1.72
15.03.2024;1.49
15.04.2024;1.6
15.05.2024;2.12
15.06.2024;2.54
15.07.2024;2.07
15.08.2024;1.99
15.09.2024;2.28
15.10.2024;2.2
15.11.2024;2.12
15.12.2024;3.01
